"","ticker","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","$MMM1","$EEP!
$MMM! $SEAS $ARE $TOO $EMO
$EEP! $IM $MS $IDA",FALSE,0,NA,2017-03-25 22:19:44,FALSE,NA,"845762148219400192",NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","stockbard",0,FALSE,FALSE,NA,NA
"2","$MMM2","$MMM 3M Dividend Stock Analysis =&gt; https://t.co/LDYWegzMlr  via @KenFaulkenberry #dividend #king #industrials… https://t.co/wgOiG74FRu",FALSE,0,NA,2017-03-25 20:02:10,TRUE,NA,"845727531177312256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KenFaulkenberry",0,FALSE,FALSE,NA,NA
"3","$MMM3","3M Company: Quality and Diversification But Not a Buy $MMM #investing @seekingalpha https://t.co/z77LaUA06h https://t.co/DXsskczzke",FALSE,0,NA,2017-03-25 19:30:26,FALSE,NA,"845719541627924480",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","JC_PIP",0,FALSE,FALSE,NA,NA
"4","$MMM4","$MMM!
$EEP!
$I $TAP $HD",FALSE,0,NA,2017-03-25 19:19:43,FALSE,NA,"845716846636683264",NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","stockbard",0,FALSE,FALSE,NA,NA
"5","$MMM5","Berts 5 ""Always Buy"" Stocks $JNJ $PEP $MMM $EMR $TGT #Target #Pepsi #Consumer #Coffee #Retail #Shop #Life #Money https://t.co/o9mMteu8f0",FALSE,0,NA,2017-03-25 18:02:49,FALSE,NA,"845697495804055553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DvdndDiplomats",0,FALSE,FALSE,NA,NA
"6","$MMM6","3 of 5 $INTC $JNJ $JPM $KO $MCD $MMM dark red arrows strong sell signals … https://t.co/Dvb5DaBu9k",FALSE,0,NA,2017-03-25 13:00:24,FALSE,NA,"845621386970304514",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","gem_2014",0,FALSE,FALSE,NA,NA
"7","$MMM7","Commented on StockTwits: 3 of 5 $INTC $JNJ $JPM $KO $MCD $MMM dark red arrows strong sell signals …… https://t.co/zFd62YmYl6",FALSE,0,NA,2017-03-25 13:00:17,TRUE,NA,"845621359283720192",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","GemsBot",0,FALSE,FALSE,NA,NA
"8","$MMM8","RT @DvdndDiplomats: Berts 5 ""Always Buy"" Stocks $JNJ $PEP $MMM $EMR $TGT #Target #Pepsi #Consumer #Coffee #Retail #Shop #Life #Money https:…",FALSE,0,NA,2017-03-25 12:46:53,FALSE,NA,"845617985930907650",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tallinvesting",2,TRUE,FALSE,NA,NA
"9","$MMM9","Dividend Growth Investing at Work - Another Early #Valentines Gift $MMM #investing #stocks https://t.co/gGo98rbHr6 https://t.co/UoDFJD1hfO",FALSE,0,NA,2017-03-25 11:45:05,FALSE,NA,"845602435003494400",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","JC_PIP",0,FALSE,FALSE,NA,NA
"10","$MMM10","#GlennTompkins $EARN $MMM https://t.co/TMIhIr5gPX",FALSE,0,NA,2017-03-25 08:31:54,FALSE,NA,"845553818863513600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luishon2",0,FALSE,FALSE,NA,NA
